Name,Type,Street Address,City,State/Province,Zip/Postal Code,Country,Region,Owner,LinkedIn,Email
"Alex Delivery Corp","FedEx","","Carol Stream","IL","","US","USA","","",""
"Align Logistics Inc","FedEx","","Barrington","NJ","","US","USA","","",""
"All-Ways Delivers","FedEx","","Buffalo","NY","","US","USA","","",""
"Almeida Trucking Inc","FedEx","","Lexington","KY","","US","USA","","",""
"Alpimex Inc","FedEx","7 Rolling Ridge Rd","Northfield","IL","60093-1013","US","USA","Alexandar Popov","",""
"Alro Transportation Corporation","FedEx","","Oak Lawn","IL","","US","USA","","",""
"Altia Transportation Corporation","FedEx","","Tracy","CA","","US","USA","","",""
"AMA Bhagawati Express Inc","FedEx","508 Pemberwich Pl","Cary","NC","27519","US","USA","","",""
"AMH Shipping Corp","FedEx","","Reston","VA","","US","USA","","",""
"Anrod Clinton PD1 Inc","FedEx","","Clinton","PA","","US","USA","","",""
"ANS Corp","FedEx","","Tempe","AZ","","US","USA","","",""
"Anthony Packaging Services Inc","FedEx","4981 M 700 E","Hamlet","IN","46532","US","USA","Brandon Anthony","",""
"AP Distribution","FedEx","","Corryton","TN","","US","USA","","",""
"APB Logistics Inc","FedEx","15992 Shoreline Dr","Punta Gorda","FL","33982","US","USA","Mary Elizabeth Meloni","",""
"Apex Deliveries","FedEx","","Paducah","KY","","US","USA","","",""
"Appalachian Valley Transport Inc","FedEx","35 Fish Hatchery Ln","Eastaboga","AL","","US","USA","","",""
"AR Transportation Services","FedEx","","Ellenwood","GA","","US","USA","","",""
"Aratrans Inc","FedEx","2423 Garden Creek Drive","Arlington","TX","76018","US","USA","","",""
"Ark Delivery Inc","FedEx","","Spartanburg","SC","","US","USA","","",""
"Ark Line Inc","FedEx","","Beltsville","MD","","US","USA","","",""
"Ark Services Inc","FedEx","","Greenville","NC","","US","USA","","",""
"Aspen Transit Inc","FedEx","","Aurora","CO","","US","USA","","",""
"Astoria Ventures","FedEx","","Fredericksburg","VA","","US","USA","","",""
"Ataner Corp","FedEx","","Azalia","MI","","US","USA","","",""
"Atlantic City Bus Co Inc","FedEx","1328 Victory Palm Drive","Edgewater","FL","32132","US","USA","Bruce Barshay","",""
"Atlas Ground Logistics","FedEx","","North Billerica","MA","","US","USA","","",""
"AUS Logistics Inc","FedEx","","Arlington","TX","","US","USA","","",""
"Austin Transport Inc","FedEx","","Chambersburg","PA","","US","USA","","",""
"Austin Trucking inc","FedEx","","Orlando","FL","","US","USA","","",""
"Ava Inc","FedEx","","Dickinson","ND","","US","USA","","",""
"Avalanche Delivery Inc","FedEx","","Cadillac","MI","","US","USA","","",""
"Axe Logistics Inc","FedEx","","Pompano Beach","FL","","US","USA","","",""
"AZAR Trucking","FedEx","","Winchester","VA","","US","USA","","",""
"B.S. Trucking Inc","FedEx","64 N Painted Horse Cir","New Castle","CO","81647","US","USA","Daniel Patrick Smetzer","",""
"B&B Transport Inc","FedEx","","Marion","IA","","US","USA","","",""
"B&T Distributions Inc","FedEx","1004 Circle Green Drive","Clarks Summit","PA","18411","US","USA","","",""
"Babclam Inc","FedEx","","Fort Worth","TX","76136","US","USA","","",""
"Bach SJ Ltd","FedEx","5731 W 108th Ave","Westminster","CO","80020","US","USA","","",""
"Badger Logistics Inc","FedEx","","Fargo","ND","","US","USA","","",""
"BAM Logistics Pro Inc","FedEx","","Sanford","FL","","US","USA","","",""
"Bart Transportation Inc","FedEx","","Cato","NY","","US","USA","","",""
"BAS Logistics Inc","FedEx","","Fullerton","CA","","US","USA","","",""
"Battle Born Express Inc","FedEx","","Sparks","NV","","US","USA","","",""
"Baus Inc","FedEx","","Saginaw","MI","","US","USA","","",""
"Bay Routes Inc","FedEx","","Halethorpe","MD","","US","USA","","",""
"Bayman Logistic’s Inc","FedEx","","Marrero","LA","","US","USA","","",""
"Bayston Logistics Inc","FedEx","","Punta Gorda","FL","","US","USA","","",""
"BD&K Logistics Inc","FedEx","","Pittsburg","KS","","US","USA","","",""
"Beech Trucking Inc","FedEx","","Luling","LA","","US","USA","","",""
"Benley Inc","FedEx","8500 E 116th Street, Unit# 842","Fishers","IN","46038","US","USA","Hesam Nouri","",""
"Berry #1 Inc","FedEx","","Livonia","MI","","US","USA","","",""
"Better Off Trucking Inc","FedEx","","Portland","OR","","US","USA","","",""
"BG Logistics","FedEx","","Fort Myers","FL","","US","USA","","",""
"Big Prairie Ventures Inc","FedEx","14285 Kalamath Street","Westminster","CO","80023","US","USA","Brent Jacobsen","",""
"Biggs Transport Inc","FedEx","","Columbus","OH","","US","USA","","",""
"Bighorn Holdings Inc","FedEx","945 Sandywood Rd","Sikeston","MO","63801-8255","US","USA","","",""
"BigTime Trucking","FedEx","","Montgomery","NY","","US","USA","","",""
"Bilbro Express","FedEx","1095 S 4800 W","Salt Lake City","UT","84104","US","USA","","",""
"Billings LH Logistics Inc","FedEx","100 24th St W # 1-225","Billings","MT","59102-4771","US","USA","","",""
"Bison Shipping & Logistics Inc","FedEx","6020 Airport Drive","Charlotte","NC","28208","US","USA","","",""
"Bistrica Inc","FedEx","","Palatine","IL","","US","USA","","",""
"BJBM","FedEx","8481 GREENTRAILS CT","Elk Grove","CA","95624","US","USA","","",""
"BL III Inc","FedEx","835 McClintock Drive, Second Floor","Burr Ridge","IL","60527","US","USA","","",""
"BL Logistics Inc","FedEx","","Knightdale","NC","","US","USA","","",""
"Blackland Transport Inc","FedEx","","Leander","TX","","US","USA","","",""
"Blackstar Logistics","FedEx","","Richfield","OH","","US","USA","","",""
"Blessed Trucking Inc","FedEx","2356 Ainsworth Ave","Deltona","FL","32738-2547","US","USA","","",""
"Bloomfield Logistics Inc","FedEx","","Kodak","TN","","US","USA","","",""
"Blu-Express Inc","FedEx","","Philadelphia","PA","","US","USA","","",""
"Blue Devil Logistics","FedEx","951 Centerville Rd","Newville","PA","17241-9586","US","USA","","",""
"Blue Skies Logistics Corp","FedEx","","Belleville","MI","","US","USA","","",""
"BluSky P&D Inc","FedEx","","Boise","ID","","US","USA","","",""
"BLY Transport","FedEx","","Grand Rapids","MI","","US","USA","","",""
"BMK Trucking Inc","FedEx","","Schofield","WI","","US","USA","","",""
"Boone Faulkner Enterprises Inc","FedEx","","Jonesboro","AR","","US","USA","","",""
"Bowen Inc","FedEx","","New Baltimore","MI","","US","USA","","",""
"Boxed Logistics Inc","FedEx","","Middletown","NY","","US","USA","","",""
"Boxes N Bags Inc","FedEx","","Stephens City","VA","","US","USA","","",""
"BQ Express Inc","FedEx","8220 Belvedere Ave","Sacramento","CA","95826","US","USA","","",""
"Brenric Inc","FedEx","5007 Diane Dr","Greater Wichita Falls","TX","76302-4132","US","USA","","",""
"Broadbent Provisions Inc","FedEx","","Henderson","CO","","US","USA","","",""
"Brockenduke Inc","FedEx","","Abilene","TX","","US","USA","","",""
"Bronzeback Inc","FedEx","6173 Perkins 30.5 Rd","Rapid River","MI","49878","US","USA","","",""
"Bryant Logistics Inc","FedEx","118 Summerfield Ln","Anderson","SC","29621-4532","US","USA","","",""
"BTTC Trucking Inc","FedEx","","Greensboro","NC","","US","USA","","",""
"Bulldog Delivery Inc","FedEx","25930 67th Ave","Lawton","MI","49065","US","USA","Dan Boswell","",""
"Bulldog Management Corporation","FedEx","5000 North Ridge Trail","Davenport","FL","33897","US","USA","","",""
"C&E Delivery Inc","FedEx","","Jacksonville","FL","","US","USA","","",""
"C&G Delivery Service Inc","FedEx","6312 Highland Estates Dr","Saint Louis","MO","63129-4650","US","USA","Gerald T Gruska","",""
"C&J’s Logistics Inc","FedEx","609 Deep Valley Dr Ste 200","Rolling Hills Estates","CA","90274","US","USA","Christopher Briggs","",""
"CAB Logistics Inc","FedEx","","Allentown","PA","","US","USA","","",""
"Cajun Priority Express","FedEx","","Baton Rouge","LA","70809","US","USA","","",""
"Canon Careers","FedEx","","Chattanooga","TN","","US","USA","","",""
"Canon Solutions America Inc","FedEx","","Township Of Monroe","NJ","8831","US","USA","","",""
"Cardenas Inc","FedEx","","Ventura","CA","","US","USA","","",""
"Cardinal Express Inc","FedEx","","Nashville","TN","","US","USA","","",""
"Caroden Logistics Inc","FedEx","1301 Eagleson Ln","Wake Forest","NC","27587-5287","US","USA","","",""
"CaroJack Inc","FedEx","4327 BEEKMAN DR","Nashville","TN","37215","US","USA","","",""
"Carr’s Delivery Inc","FedEx","","Rockford","IL","","US","USA","","",""
"Carson Smart Trucking","FedEx","","Ontario","OH","","US","USA","","",""
"Castaway Contractors Inc","FedEx","","Dublin","GA","","US","USA","","",""
"Cauble Enterprises Inc","FedEx","Sandywood Rd","Sikeston","MO","63801-8255","US","USA","","",""
"CBI Express Inc","FedEx","","Dover","NJ","","US","USA","","",""
"CCS Express Inc","FedEx","29 Colony Acres Road","Longmeadow","MA","1106","US","USA","Christine Spelman","",""
"CD Express Inc","FedEx","305 S Main Street","Lowell","NC","28098","US","USA","","",""
"Celebic Trucking Inc","FedEx","14100 Parke Long Ct Ste I","Chantilly","VA","20151-1644","US","USA","","",""
"Cerfus Logistics 1 Inc","FedEx","5858 HONEYCREEK DRIVE","Milwaukee","WI","53221","US","USA","","",""
"Chalim Inc","FedEx","","Kennesaw","GA","","US","USA","","",""
"Cherokee Federal","FedEx","","Huntsville","AL","","US","USA","","",""
"Chiappetta Logistics Inc","FedEx","","Zelienople","PA","","US","USA","","",""
"Chromero Inc","FedEx","8431 WAYNE AVE","Lubbock","TX","79424-4028","US","USA","","",""
"CJ&J","FedEx","9 AL Foxie Way","Blauvelt","NY","10913","US","USA","","",""
"CJX Logistics Inc","FedEx","","Roanoke","VA","","US","USA","","",""
"Clark Logistics Corporation","FedEx","","Whitsett","NC","","US","USA","","",""
"CLK Transport Inc","FedEx","","Muskegon","MI","","US","USA","","",""
"Clout Enterprises","FedEx","","Omaha","NE","","US","USA","","",""
"CMD Inc","FedEx","","Grimes","IA","","US","USA","","",""
"Coastal Package Inc","FedEx","","Weymouth","MA","","US","USA","","",""
"Coastline Carrier Corp","FedEx","","Scarborough","ME","","US","USA","","",""
"Coastline Carriers Inc","FedEx","1425 Branch Row","Wilmington","NC","28405","US","USA","","",""
"Cobblestone Industries Inc","FedEx","","Murfreesboro","TN","","US","USA","","",""
"Coble Logistics Inc","FedEx","","Bowling Green","KY","","US","USA","","",""
"Coffee Logistics Inc","FedEx","3912 Battleground Ave, Ste. 112-283","Greensboro","NC","27410","US","USA","","",""
"Combined Arms Logistics Inc","FedEx","","Henderson","NV","","US","USA","","",""
"Construct Inc","FedEx","","Jacksonville","FL","32219","US","USA","","",""
"Contract Express Inc","FedEx","","Grayslake","IL","","US","USA","","",""
"Cornelius Parcel Services Inc","FedEx","888 Suchava Drive","White Lake","MI","48386-4555","US","USA","Chad Cornelius","",""
"Cornerstone Logistics Inc","FedEx","","Bemidji","MN","","US","USA","","",""
"Cortlandt Co","FedEx","2400 N. Memorial Dr","Greenville","NC","77007","US","USA","","",""
"Courier Express Global Inc","FedEx","635 Community Dr","South Burlington","VT","5403","US","USA","","",""
"Cox Logistics Inc","FedEx","","Tulsa","OK","","US","USA","","",""
"Creekwood Legacy Inc","FedEx","","Irving","TX","","US","USA","","",""
"Cripston Transportation Inc","FedEx","","Stafford","VA","","US","USA","","",""
"CSJ Logistics Inc","FedEx","9290 Carringston Avenue","Parkland","FL","33076","US","USA","Steven Imparato","",""
"CT South Corp","FedEx","","Port Wentworth","GA","","US","USA","","",""
"Custom Delivery Services","FedEx","11 Northtown Drive Ste 225","Jackson","MS","39211","US","USA","","",""
"Customer First Courier Inc","FedEx","","Carson","CA","","US","USA","","",""
"CVH Transportation","FedEx","","Braselton","GA","","US","USA","","",""
"CWC Delivery Services Inc","FedEx","1211 Delaware Dr","Mansfield","TX","76063","US","USA","","",""
"D&F Transportation Inc","FedEx","","Charlotte","NC","","US","USA","","",""
"D&N Fleet Corp","FedEx","","Queens","NY","","US","USA","","",""
"D3J Express Corp","FedEx","","Bessemer","AL","","US","USA","","",""
"D5 Logistics Inc","FedEx","","Chino","CA","","US","USA","","",""
"DA Enterprises Inc","FedEx","15200 Hwy 41 North","Evansville","IN","47725","US","USA","Dustin Cauble","",""
"Dacotah Express Inc","FedEx","2217 S. Ronsiek Avenue","Sioux Falls","SD","57106","US","USA","","",""
"DAMAR Logistics TMP Corp","FedEx","","Parrish","FL","","US","USA","","",""
"Dancor Inc","FedEx","1601 Brown Rd","Orion Twp","MI","48359","US","USA","","",""
"Danny-O Inc","FedEx","","Watkins","MN","","US","USA","","",""
"Davis EIS Enterprise LLC","FedEx","","Newville","PA","17241","US","USA","","",""
"Davis Logistics Salina Inc","FedEx","","Salina","KS","","US","USA","","",""
"Dawn & Sons Enterprises","FedEx","","Brick Township","NJ","","US","USA","","",""
"DAZ Delivery Corporation","FedEx","1361 Meghann Lane","Waxahachie","TX","75167","US","USA","","",""
"DBI Logistics Inc","FedEx","","Davenport","IA","","US","USA","","",""
"DC Express","FedEx","","Chattanooga","TN","","US","USA","","",""
"DCCB Inc","FedEx","","Portland","OR","","US","USA","","",""
"DCS Enterprises","FedEx","","Palmdale","CA","","US","USA","","",""
"Dean Lambert Inc","FedEx","","Stockbridge","GA","","US","USA","","",""
"Decker Express Inc","FedEx","","Abilene","TX","","US","USA","","",""
"Defex Inc","FedEx","1044 OAK TREE LAND","Annapolis","MD","21409","US","USA","","",""
"Delaney Logistics I Inc","FedEx","","Saginaw","MI","","US","USA","","",""
"Delivery Bee Inc","FedEx","2120 Daugherty Rd","China Grove","NC","28023-7683","US","USA","","",""
"Delivery Lab Corp","FedEx","4288 LACEBARK LN","Naperville","IL","60564","US","USA","","",""
"Delivery Logistics Inc","FedEx","","Lewiston","ME","","US","USA","","",""
"Delrus Inc","FedEx","","Sacramento","CA","","US","USA","","",""
"Derek McCoy Inc","FedEx","60 N Brayton Rd","Tiverton","RI","2878","US","USA","Derek McCoy","",""
"Desert Sun Delivery Inc","FedEx","8059 S. Dolphin Way","Tucson","AZ","85756","US","USA","","",""
"Devine Distribution Inc","FedEx","","Danville","IL","","US","USA","","",""
"Devonna","FedEx","","Trenton","NJ","","US","USA","","",""
"DHR Logistics","FedEx","","Norfolk","VA","","US","USA","","",""
"Diamond Delivery Corp","FedEx","1590 Hughes Drive","Cumming","GA","30040","US","USA","","",""
"Diamond Hogz Logistics Inc","FedEx","","Jonesboro","AR","","US","USA","","",""
"Dilly Logistics Inc","FedEx","7008 92nd Ave N","Brooklyn Park","MN","55445","US","USA","","",""
"DKA Trucking","FedEx","","Chicago","IL","","US","USA","","",""
"DMJ2 Logistics Inc","FedEx","1820 E. Ray Road #1000","Chandler","AZ","85225","US","USA","","",""
"DMJZ Inc","FedEx","","Mankato","MN","56001","US","USA","","",""
"DMM inc","FedEx","","Mount Juliet","TN","","US","USA","","",""
"Double R Logistics","FedEx","","Murfreesboro","TN","","US","USA","","",""
"Double Up Inc","FedEx","","Fort Worth","TX","","US","USA","","",""
"DRB Delivery Inc","FedEx","6850 Weber Blvd","Ladson","SC","29456","US","USA","","",""
"Dreaming Purple Inc","FedEx","31 Cambridge Drive","Wolcott","CT","6716","US","USA","Timothy Fennell","",""
"Drifted South Inc","FedEx","","Saint Petersburg","FL","","US","USA","","",""
"DSLG Maintenance Corp","FedEx","","Brooklyn","NY","","US","USA","","",""
"DTR Logistics Inc","FedEx","688 Alliance Pkwy Box 6","Hewitt","TX","76643-4298","US","USA","","",""
"DWW Inc","FedEx","","Dupont","WA","","US","USA","","",""
"DX2 Express Inc","FedEx","","Barrington","NJ","","US","USA","","",""
"DXP Group","FedEx","","Kansas City","MO","","US","USA","","",""
"E-Comm Services Inc","FedEx","","Manitowoc","WI","","US","USA","","",""
"E&B Delivery Inc","FedEx","1110 East North Street","Benton","AR","72015","US","USA","","",""
"Early Start Express","FedEx","","Oak Park","MI","","US","USA","","",""
"EBB II Inc","FedEx","915 S Wolfe St APT 117","Baltimore","MD","21231-3652","US","USA","","",""
"Echo Ca Logistics","FedEx","","Hayward","CA","","US","USA","","",""
"Eco Products LLC","FedEx","","Lake Orion","MI","","US","USA","","",""
"Ekholm Enterprises Inc","FedEx","1101 W. Glen Eagle Circle","Sioux Falls","SD","57108","US","USA","","",""
"Elansis Logistics Inc","FedEx","","White Marsh","MD","","US","USA","","",""
"Eliel Logistics Inc","FedEx","7373 Madison Ave","Indianapolis","IN","46227","US","USA","Lalram Sunthang","",""
"Elite Delivery Corporation","FedEx","","York","PA","","US","USA","","",""
"Empire Carriers Corp","FedEx","","Medley","FL","","US","USA","","",""
"Enroute Logistics Inc","FedEx","","Hayward","CA","","US","USA","","",""
"Envy Logistics","FedEx","","Carson","CA","","US","USA","","",""
"ER&B Logistics Inc","FedEx","","Columbia","SC","","US","USA","","",""
"ERT Logistics Inc","FedEx","5 Tsienneto Rd, Unit 121","Derry","NH","3038","US","USA","","",""
"ESG Logistics Corp","FedEx","","Hamilton","OH","","US","USA","","",""
"ETCH Transport Company Inc","FedEx","","Little Rock","AR","","US","USA","","",""
"ETLA Express Inc","FedEx","7901 Kingspointe Pkwy #28","Orlando","FL","32819","US","USA","","",""
"Excel Delivery Inc","FedEx","","Ellenwood","GA","","US","USA","","",""
"Excelerated Logistics","FedEx","","Menomonee Falls","WI","","US","USA","","",""
"Express NDM Corporation","FedEx","905 Hwy 321 NW, Suite 321","Hickory","NC","28601","US","USA","","",""
"EZ Logistics Inc","FedEx","","Rolla","MO","","US","USA","","",""
"F&ZSHAMS Incorporated","FedEx","7787 CRYSTAL BROOK WAY","Hanover","MD","21076","US","USA","","",""
"Fabio Inc","FedEx","","Rogers","MN","","US","USA","","",""
"FAF Logistics","FedEx","","Jacksonville","FL","","US","USA","","",""
"Falcon Delivery Service Inc","FedEx","","Portage","MI","","US","USA","","",""
"Falcon Transportation Enterprises","FedEx","","Oceanside","CA","","US","USA","","",""
"Fast and Fierce Inc","FedEx","1313 N. Road St. Suite 209","Elizabeth City","NC","27909","US","USA","","",""
"Fastforward Enterprises Inc","FedEx","6722 Shoals Way","Indianapolis","IN","46237","US","USA","John Simon","",""
"FC Delivery Inc","FedEx","","Burlington","WA","","US","USA","","",""
"FC Logistics Inc","FedEx","","Aztec","NM","","US","USA","","",""
"FedM Inc","FedEx","","Portland","OR","","US","USA","","",""
"Fee Patriot Transportation Inc","FedEx","2410 Saddle Ridge Lane","Cape Girardeau","MO","63701","US","USA","Joshua A Fee","",""
"FetGo Inc","FedEx","","Monroe","LA","","US","USA","","",""
"FGV Inc","FedEx","","Whitefish Bay","WI","","US","USA","","",""
"FH Logistics Incorporated","FedEx","8502 GROVELAND DR","Dallas","TX","75218-4310","US","USA","","",""
"Final Mile Logistics Inc","FedEx","163 Pitman Rd","Morgantown","WV","26501","US","USA","","",""
"First Priority Logistics","FedEx","","Perrysburg","OH","","US","USA","","",""
"Fitzpatrick Enterprises","FedEx","","Norcross","GA","","US","USA","","",""
"FJ Trucking","FedEx","","Billings","MT","","US","USA","","",""
"Flex Express Inc","FedEx","","Sacramento","CA","95822","US","USA","","",""
"FMW West Inc","FedEx","","Oceanside","CA","92056","US","USA","","",""
"FNS Transport Inc","FedEx","","San Jacinto","CA","","US","USA","","",""
"Foot Delivery Services Inc","FedEx","","Denver","CO","","US","USA","","",""
"Force Transportation","FedEx","","Dover","DE","","US","USA","","",""
"Four Boys Transportation","FedEx","","Show Low","AZ","","US","USA","","",""
"Fowler Logistics","FedEx","","Spartanburg","SC","","US","USA","","",""
"Fralin Enterprise Inc","FedEx","3169 Nace Rd","Fincastle","VA","24090-4521","US","USA","Steve Fralin","",""
"Frank P&D Inc","FedEx","3439 Deer Ridge Ct","Rose Hill","KS","67133-8833","US","USA","Robin E. Frank","",""
"Freedom Freight Inc","FedEx","","Greenville","SC","","US","USA","","",""
"Freedom Packages Inc","FedEx","3011 Chestnut Ridge Church Rd","Efland","NC","27243","US","USA","","",""
"Front Range Trucking","FedEx","","Denver","CO","","US","USA","","",""
"Fulsom Logistics Inc","FedEx","","Fresno","CA","","US","USA","Troy Fulsom","",""
"Gaines Transportation Inc","FedEx","42092 Mansfield Park Ct","Chantilly","VA","20152-6131","US","USA","Jeffrey H Gaines II","",""
"Gaka D’s Deli","FedEx","","Grimes","IA","","US","USA","","",""
"Galway Group Inc","FedEx","2512 Denmead St","Lakewood","CA","90712","US","USA","","",""
"Gama Service Express Inc","FedEx","2308 National Drive","Brooklyn","NY","11234","US","USA","","",""
"Garrid Enterprises Inc","FedEx","8515 W Canary Ct","Garden City","ID","83714","US","USA","John Grigsby","",""
"GEM Transport Inc","FedEx","","Gaithersburg","MD","","US","USA","","",""
"Genesis Inc","FedEx","","Hermitage","PA","","US","USA","","",""
"Genesys Logistics II Inc","FedEx","13265 PATCHIN DR","Nunica","MI","49448","US","USA","","",""
"Genesys Logistics Inc","FedEx","","Gaylord","MI","","US","USA","","",""
"Getr Done Delivery Services Inc","FedEx","1613 Pacific Ave Ste 88","Oxnard","CA","93033-4093","US","USA","","",""
"GL Transportation Inc","FedEx","2299 US Highway 64 West","Mocksville","NC","27028","US","USA","","",""
"Glass City Runners Inc","FedEx","","Allentown","PA","","US","USA","","",""
"Global Truck Terminal Inc","FedEx","","Modesto","CA","","US","USA","","",""
"GLSL Properties Inc","FedEx","14904 COUNTY ROAD 1104","Flint","TX","75762-3200","US","USA","","",""
"GNLC Shipping Inc","FedEx","","Lewiston","ME","","US","USA","","",""
"Go On Further Corp","FedEx","","Atlanta","GA","","US","USA","","",""
"GOAT Logistics","FedEx","","Bowling Green","OH","","US","USA","","",""
"GoFreight Solutions Co","FedEx","6025 Brooklyn Ave","Kansas City","MO","64130","US","USA","","",""
"Goldstar Partners Delivery Inc","FedEx","6112 Lakeway Dr","Fayetteville","NC","28306","US","USA","","",""
"Gomez Trucking Inc","FedEx","","Moreno Valley","CA","","US","USA","","",""
"GR8 Courier Inc","FedEx","","Watertown","NY","","US","USA","","",""
"Grackson Logistics Inc","FedEx","13148 Broad St","Carmel","IN","46032","US","USA","Ryan Nelson","",""
"Grayscreen Inc","FedEx","2031 Bridleside Drive","Indian Trail","NC","28079","US","USA","","",""
"Greene Logistics Inc","FedEx","","Redmond","WA","","US","USA","","",""
"Greylock Logistics","FedEx","","Twinsburg","OH","","US","USA","","",""
"Ground Logistics New Castle Inc","FedEx","","New Castle","DE","","US","USA","","",""
"GroundForce Inc","FedEx","","St Paul","MN","","US","USA","","",""
"GRush Logistics","FedEx","","Elmsford","NY","","US","USA","","",""
"GS Shipping Corp","FedEx","","Redmond","WA","","US","USA","","",""
"GSC Logistics Inc","FedEx","","Bessemer","AL","","US","USA","","",""
"GSE Services","FedEx","","Barrington","NJ","","US","USA","","",""
"Gulf Coast Logistics Inc","FedEx","13509 Waterworks St","Jacksonville","FL","32221","US","USA","","",""
"Gulf Coast Parcel Inc","FedEx","","Mandeville","LA","","US","USA","","",""
"GWC Trucking Inc","FedEx","","Hagerstown","MD","","US","USA","","",""
"H&M Transfer Inc","FedEx","","Litchfield","IL","","US","USA","","",""
"H&S Logistics Inc","FedEx","6213 Pine Chapel Drive","Charlotte","NC","28273","US","USA","","",""
"H2L Ground Delivery Inc","FedEx","3050 Fite Cir","Sacramento","CA","95827","US","USA","","",""
"Habibi Logistics Inc","FedEx","","Pompano Beach","FL","","US","USA","","",""
"Hackman Express","FedEx","","Morton","IL","","US","USA","","",""
"Halcyon Logistics","FedEx","","Denver","CO","","US","USA","","",""
"Halethorpe Logistics","FedEx","","Millersville","MD","","US","USA","","",""
"Hammons and Long Inc","FedEx","","Portland","OR","","US","USA","","",""
"Hand Transport Service Inc","FedEx","135 FedEx Way","Greenville","SC","29605","US","USA","","",""
"Hanging Rock Logistics Inc","FedEx","2804 Hwy 54 PMB 307","Peachtree City","GA","30269","US","USA","Troy Christopher Wood","",""
"Hansen Logistics Inc","FedEx","1846 E. Innovation Park Dr., Ste 100","Oro Valley","AZ","85755","US","USA","Andrew T Hansen","",""
"Harding Logistics Inc","FedEx","","Harrison","AR","","US","USA","","",""
"Hartford Package Inc","FedEx","","Worcester","MA","","US","USA","","",""
"HD Six Corporation","FedEx","","Sanford","FL","","US","USA","","",""
"Heaton Deliveries Inc","FedEx","6518 Ashbrook Drive","Fort Wayne","IN","46835","US","USA","Kyle Heaton","",""
"Helamen Shipping Inc","FedEx","","Bethlehem","PA","","US","USA","","",""
"Hemingway Couriers Inc","FedEx","325 Homan Rd","Lebanon","OH","45036","US","USA","","",""
"Hendrix Services Inc","FedEx","","Rio Rancho","NM","","US","USA","","",""
"HER Delivery Services Inc","FedEx","","White","MD","","US","USA","","",""
"HERC Logistics Inc","FedEx","","North Jackson","OH","","US","USA","","",""
"Herd Enterprises","FedEx","","Minneapolis","MN","","US","USA","","",""
"Hermes Consulting Corp","FedEx","","New York","NY","","US","USA","","",""
"Hernandez Corp","FedEx","","North Las Vegas","NV","","US","USA","","",""
"Hess Logistics Inc","FedEx","4030 Wake Forest Road, Ste 349","Raleigh","NC","27609","US","USA","","",""
"HFC","FedEx","","Chicago","IL","","US","USA","","",""
"High Desert Delivery Inc","FedEx","3071 NE Stripling Ct","Prineville","OR","97754-9030","US","USA","","",""
"High Standards II Inc","FedEx","113 Pine Lane","Colchester","VT","5446","US","USA","","",""
"High Tide","FedEx","","Liberty","NC","","US","USA","","",""
"Hill Freight Express Inc","FedEx","7117 Wytheville Cirlce","Fredericksburg","VA","22407","US","USA","","",""
"HLC Logistics Corp","FedEx","","Auburn Hills","MI","","US","USA","","",""
"Hobbes Logistics Inc","FedEx","","Richfield","OH","","US","USA","","",""
"Hobbs Wood Logistics","FedEx","","Eastaboga","AL","","US","USA","","",""
"HoCo Logistics Inc","FedEx","3354 Wild Rose Court","Wichita","KS","67205","US","USA","Kirk Howie","",""
"Holyoke News Co Inc","FedEx","720 Main Street","Holyoke","MA","1040","US","USA","","",""
"Hornet Transport North Inc","FedEx","","Fort Worth","TX","","US","USA","","",""
"HR K Client Services","FedEx","","Lansing","MI","","US","USA","","",""
"Huarui US Services Corp","FedEx","23482 FOLEY ST SUITE D","Hayward","CA","94545","US","USA","","",""
"Huizar Bros lll Inc","FedEx","13530 KELTON CT","Moreno Valley","CA","92555","US","USA","","",""
"Hurricane Logistics Inc","FedEx","6-2 W Meadow Ln","Middletown","CT","06457-1656","US","USA","Carlyle Ballard","",""
"Hutch Motors Inc","FedEx","","Pasco","WA","","US","USA","Eric Hutchcraft","",""
"I Genco Inc","FedEx","","Reading","MA","","US","USA","","",""
"IAFS Logistics Inc","FedEx","8366 Pedigrue Ct","Gainesville","VA","20155-3240","US","USA","","",""
"ICLLA Inc","FedEx","","Alexandria","LA","","US","USA","","",""
"IDirect F Inc","FedEx","","Davenport","FL","","US","USA","","",""
"Impact Solutions Inc","FedEx","","Centennial","CO","","US","USA","","",""
"Impel Logistics Inc","FedEx","","Twinsburg","OH","","US","USA","","",""
"Indy Night Starr Inc","FedEx","2501 S. Sycamore Terrace St","Terre Haute","IN","47803","US","USA","Terry Norris","",""
"Integrated Solutions & Logistics","FedEx","","Jacksonville","FL","","US","USA","","",""
"Integrity Midwest LLC","FedEx","","Greenville","WI","","US","USA","","",""
"Intrusted Delivery Corp","FedEx","","Grand Rapids","MI","","US","USA","","",""
"Isaiah Trucking Inc","FedEx","11414 S 150th St","Omaha","NE","68138","US","USA","","",""
"ISP Manjarreza Expressa Inc","FedEx","","Van Buren","AR","72956","US","USA","","",""
"J & M National Inc","FedEx","157R PHIPPS ST","Quincy","MA","2169","US","USA","","",""
"J A Peters Trucking Inc","FedEx","3261 Lee Way Ct","North Fort Myers","FL","33903","US","USA","","",""
"J Eid Inc","FedEx","","Shakopee","MN","","US","USA","","",""
"J.H.T Enterprises Inc","FedEx","9858 Clint Moore Rd Ste # 111 # 232","Boca Raton","FL","33496","US","USA","","",""
